in:86 out:86 type:B q:27.93 q-aq:27.20 q-noVbv:27.93 q-Rceq:1.08 tex:2 mv:151 misc:103 icu:0.00 pcu:5.00 scu:505.00 sc:0 ;
in:85 out:87 type:b q:29.10 q-aq:28.22 q-noVbv:29.10 q-Rceq:1.08 tex:0 mv:42 misc:59 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:87 out:88 type:b q:29.04 q-aq:28.22 q-noVbv:29.04 q-Rceq:1.08 tex:0 mv:76 misc:80 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:92 out:89 type:P q:26.71 q-aq:21.23 q-noVbv:26.71 q-Rceq:1.08 tex:13461 mv:1619 misc:733 icu:2.25 pcu:114.50 scu:393.25 sc:0 ;
in:90 out:90 type:B q:27.86 q-aq:26.65 q-noVbv:27.86 q-Rceq:1.08 tex:45 mv:180 misc:140 icu:0.00 pcu:5.00 scu:505.00 sc:0 ;
in:89 out:91 type:b q:29.00 q-aq:28.22 q-noVbv:29.00 q-Rceq:1.08 tex:0 mv:63 misc:69 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:91 out:92 type:b q:28.99 q-aq:28.22 q-noVbv:28.99 q-Rceq:1.08 tex:0 mv:104 misc:78 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:96 out:93 type:P q:26.72 q-aq:21.41 q-noVbv:26.72 q-Rceq:1.08 tex:11730 mv:1398 misc:715 icu:1.00 pcu:111.75 scu:397.25 sc:0 ;
in:94 out:94 type:B q:27.85 q-aq:26.94 q-noVbv:27.85 q-Rceq:1.08 tex:23 mv:177 misc:159 icu:0.00 pcu:2.50 scu:507.50 sc:0 ;
in:93 out:95 type:b q:28.99 q-aq:28.22 q-noVbv:28.99 q-Rceq:1.08 tex:0 mv:80 misc:72 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:95 out:96 type:b q:28.99 q-aq:28.22 q-noVbv:28.99 q-Rceq:1.08 tex:0 mv:78 misc:86 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:100 out:97 type:P q:26.65 q-aq:21.31 q-noVbv:26.65 q-Rceq:1.08 tex:11810 mv:1523 misc:702 icu:0.50 pcu:95.25 scu:414.25 sc:0 ;
in:98 out:98 type:B q:27.82 q-aq:26.79 q-noVbv:27.82 q-Rceq:1.08 tex:79 mv:177 misc:156 icu:0.00 pcu:2.50 scu:507.50 sc:0 ;
in:97 out:99 type:b q:28.98 q-aq:28.22 q-noVbv:28.98 q-Rceq:1.08 tex:0 mv:42 misc:77 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:99 out:100 type:b q:28.94 q-aq:28.22 q-noVbv:28.94 q-Rceq:1.08 tex:0 mv:76 misc:90 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:104 out:101 type:P q:26.59 q-aq:21.26 q-noVbv:26.59 q-Rceq:1.08 tex:12989 mv:1506 misc:735 icu:0.00 pcu:111.75 scu:398.25 sc:0 ;
in:102 out:102 type:B q:27.76 q-aq:27.20 q-noVbv:27.76 q-Rceq:1.08 tex:0 mv:149 misc:103 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:101 out:103 type:b q:28.91 q-aq:28.22 q-noVbv:28.91 q-Rceq:1.08 tex:0 mv:43 misc:71 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:103 out:104 type:b q:28.88 q-aq:28.22 q-noVbv:28.88 q-Rceq:1.08 tex:0 mv:113 misc:74 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:108 out:105 type:P q:26.57 q-aq:21.19 q-noVbv:26.57 q-Rceq:1.08 tex:12912 mv:1672 misc:801 icu:5.25 pcu:114.00 scu:390.75 sc:0 ;
in:106 out:106 type:B q:27.72 q-aq:26.99 q-noVbv:27.72 q-Rceq:1.08 tex:44 mv:170 misc:138 icu:0.00 pcu:1.50 scu:508.50 sc:0 ;
in:105 out:107 type:b q:28.86 q-aq:28.22 q-noVbv:28.86 q-Rceq:1.08 tex:0 mv:70 misc:76 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:107 out:108 type:b q:28.85 q-aq:28.22 q-noVbv:28.85 q-Rceq:1.08 tex:0 mv:117 misc:97 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:112 out:109 type:P q:26.57 q-aq:21.49 q-noVbv:26.57 q-Rceq:1.08 tex:11742 mv:1469 misc:699 icu:0.50 pcu:107.75 scu:401.75 sc:0 ;
in:110 out:110 type:B q:27.71 q-aq:27.20 q-noVbv:27.71 q-Rceq:1.08 tex:1 mv:132 misc:109 icu:0.00 pcu:4.00 scu:506.00 sc:0 ;
in:109 out:111 type:b q:28.84 q-aq:28.22 q-noVbv:28.84 q-Rceq:1.08 tex:0 mv:63 misc:72 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:111 out:112 type:b q:28.84 q-aq:28.22 q-noVbv:28.84 q-Rceq:1.08 tex:1 mv:88 misc:93 icu:0.00 pcu:1.00 scu:509.00 sc:0 ;
in:116 out:113 type:P q:26.50 q-aq:21.35 q-noVbv:26.50 q-Rceq:1.08 tex:11862 mv:1606 misc:709 icu:1.00 pcu:106.75 scu:402.25 sc:0 ;
in:114 out:114 type:B q:27.67 q-aq:27.00 q-noVbv:27.67 q-Rceq:1.08 tex:102 mv:171 misc:146 icu:0.00 pcu:0.50 scu:509.50 sc:0 ;
in:113 out:115 type:b q:28.82 q-aq:28.22 q-noVbv:28.82 q-Rceq:1.08 tex:0 mv:69 misc:79 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:115 out:116 type:b q:28.79 q-aq:28.22 q-noVbv:28.79 q-Rceq:1.08 tex:0 mv:101 misc:99 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:120 out:117 type:P q:26.46 q-aq:20.89 q-noVbv:26.46 q-Rceq:1.08 tex:12743 mv:1430 misc:667 icu:0.50 pcu:121.25 scu:388.25 sc:0 ;
in:118 out:118 type:B q:27.62 q-aq:27.20 q-noVbv:27.62 q-Rceq:1.08 tex:2 mv:184 misc:127 icu:0.00 pcu:5.00 scu:505.00 sc:0 ;
in:117 out:119 type:b q:28.76 q-aq:28.22 q-noVbv:28.76 q-Rceq:1.08 tex:0 mv:55 misc:76 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:119 out:120 type:b q:28.74 q-aq:28.22 q-noVbv:28.74 q-Rceq:1.08 tex:1 mv:123 misc:85 icu:0.00 pcu:1.00 scu:509.00 sc:0 ;
in:124 out:121 type:P q:26.44 q-aq:20.87 q-noVbv:26.44 q-Rceq:1.08 tex:12999 mv:1486 misc:693 icu:2.00 pcu:115.00 scu:393.00 sc:0 ;
in:122 out:122 type:B q:27.58 q-aq:27.20 q-noVbv:27.58 q-Rceq:1.08 tex:2 mv:154 misc:118 icu:0.00 pcu:2.25 scu:507.75 sc:0 ;
in:121 out:123 type:b q:28.73 q-aq:28.22 q-noVbv:28.73 q-Rceq:1.08 tex:1 mv:79 misc:60 icu:0.00 pcu:1.00 scu:509.00 sc:0 ;
in:123 out:124 type:b q:28.71 q-aq:28.22 q-noVbv:28.71 q-Rceq:1.08 tex:1 mv:105 misc:84 icu:0.00 pcu:4.00 scu:506.00 sc:0 ;
in:128 out:125 type:P q:26.42 q-aq:21.13 q-noVbv:26.42 q-Rceq:1.08 tex:12082 mv:1462 misc:666 icu:1.25 pcu:107.75 scu:401.00 sc:0 ;
in:126 out:126 type:B q:27.56 q-aq:27.20 q-noVbv:27.56 q-Rceq:1.08 tex:2 mv:200 misc:117 icu:0.00 pcu:4.50 scu:505.50 sc:0 ;
in:125 out:127 type:b q:28.70 q-aq:28.22 q-noVbv:28.70 q-Rceq:1.08 tex:0 mv:52 misc:60 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:127 out:128 type:b q:28.70 q-aq:28.22 q-noVbv:28.70 q-Rceq:1.08 tex:0 mv:107 misc:97 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:132 out:129 type:P q:26.38 q-aq:20.94 q-noVbv:26.38 q-Rceq:1.08 tex:13683 mv:1632 misc:748 icu:0.50 pcu:106.00 scu:403.50 sc:0 ;
in:130 out:130 type:B q:27.54 q-aq:27.20 q-noVbv:27.54 q-Rceq:1.08 tex:4 mv:181 misc:136 icu:0.00 pcu:4.25 scu:505.75 sc:0 ;
in:129 out:131 type:b q:28.68 q-aq:28.22 q-noVbv:28.68 q-Rceq:1.08 tex:0 mv:57 misc:50 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:131 out:132 type:b q:28.66 q-aq:28.22 q-noVbv:28.66 q-Rceq:1.08 tex:0 mv:112 misc:95 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:136 out:133 type:P q:26.40 q-aq:21.09 q-noVbv:26.40 q-Rceq:1.08 tex:11668 mv:1446 misc:700 icu:1.00 pcu:111.75 scu:397.25 sc:0 ;
in:134 out:134 type:B q:27.53 q-aq:27.20 q-noVbv:27.53 q-Rceq:1.08 tex:1 mv:121 misc:121 icu:0.00 pcu:0.25 scu:509.75 sc:0 ;
in:133 out:135 type:b q:28.66 q-aq:28.22 q-noVbv:28.66 q-Rceq:1.08 tex:0 mv:75 misc:60 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
