#options: 480x270 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=8 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=250 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:76 out:73 type:P dur:2 cpbdur:2 q:21.47 aq:12.28 tex:25289 mv:879 misc:296 imb:0 pmb:169 smb:341 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:21.57 aq:15.61 tex:1286 mv:691 misc:375 imb:0 pmb:92 smb:418 d:- ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:21.62 aq:18.82 tex:342 mv:293 misc:293 imb:0 pmb:37 smb:473 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:21.52 aq:17.25 tex:389 mv:261 misc:270 imb:0 pmb:34 smb:476 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:21.35 aq:11.14 tex:25795 mv:857 misc:308 imb:0 pmb:168 smb:342 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:21.41 aq:15.58 tex:975 mv:570 misc:367 imb:0 pmb:73 smb:437 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:21.44 aq:18.17 tex:991 mv:383 misc:290 imb:0 pmb:49 smb:461 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:21.38 aq:17.73 tex:500 mv:270 misc:294 imb:0 pmb:45 smb:465 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:21.24 aq:11.94 tex:25313 mv:881 misc:302 imb:1 pmb:164 smb:345 d:- ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:21.30 aq:16.29 tex:1480 mv:650 misc:350 imb:0 pmb:86 smb:424 d:- ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:21.32 aq:17.96 tex:573 mv:300 misc:295 imb:0 pmb:43 smb:467 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:21.27 aq:17.76 tex:646 mv:231 misc:307 imb:0 pmb:46 smb:464 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:21.17 aq:11.40 tex:26286 mv:951 misc:291 imb:3 pmb:169 smb:338 d:- ref:0 ;
